code, people 
8100311, 214 
8100312, 339 
8100313, 451 
8100314, 28 
8103601, 444 
8103602, 874 
8103603," 3,361 "
8100401, 170 
8100402, 302 
8100403, 284 
8100404, 217 
8100405, 310 
8100406, 407 
8100407, 341 
8100501, 211 
8100502, 329 
8100503, 210 
8100504, 249 
8100505, 299 
8100506, 144 
8100507, 233 
8100508, 134 
8100509, 265 
8103701," 3,928 "
8105401, 346 
8105402, 503 
8105403, 443 
8105404, 326 
8105501, 376 
8105502, 235 
8105503, 294 
8105504, 295 
8105505, 211 
8105506, 365 
8105507, 351 
8105508, 430 
8105509, 264 
8100601, 611 
8100602, 156 
8100603, 476 
8100604, 205 
8100605, 265 
8100606, 225 
8100607, 295 
8100608, 314 
8100609, 284 
8100610, 246 
8100611, 314 
8100612, 404 
8100613, 187 
8100614, 245 
8100615, 177 
8100616, 345 
8100617, 288 
8100701, 393 
8100702, 196 
8100703, 413 
8100704, 159 
8100705, 312 
8100706, 279 
8100707, 316 
8100708, 216 
8100709, 243 
8100710, 276 
8100711, 390 
8100712, 297 
8100713, 245 
8100714, 205 
8100801, 252 
8100802, 337 
8100803, 270 
8100804, 155 
8100805, 334 
8100806, 249 
8100807, 372 
8100808, 185 
8100809, 365 
8100810, 255 
8100811, 167 
8100812, 273 
8100901, 255 
8100902, 174 
8100903, 282 
8100904, 253 
8100905, 211 
8100906, 317 
8100907, 180 
8100908, 264 
8100909, 189 
8100910, 222 
8103801," 1,206 "
8103802," 1,499 "
8103803, 586 
8103901, 356 
8103902, 576 
8103903, 779 
8103904, 421 
8103905," 1,390 "
8103906," 1,247 "
8101001, 258 
8101002, 252 
8101003, 310 
8101004, 274 
8101005, 395 
8101101, 461 
8101102, 265 
8101103, 468 
8101104, 351 
8101105, 203 
8101106, 174 
8101107, -   
8101108, 161 
8101109, 196 
8101110, 179 
8101201, 6 
8104001, 378 
8104002, 263 
8104003, 397 
8104004, 480 
8104005, 278 
8104006, 201 
8104007, 285 
8104008, 300 
8104009, 401 
8104010, 426 
8104011, -   
8104012, 443 
8104101, 18 
8104201," 1,735 "
8105601, 417 
8105602, 438 
8105603, 333 
8105604, 326 
8105605, 337 
8105606, 158 
8105607, 294 
8104301, 314 
8104401, 375 
8104402, 355 
8104403, 917 
8104404, 349 
8104405, 364 
8104406," 1,598 "
8104407, 491 
8104408," 1,093 "
8104409, 210 
8101301, 152 
8101302, 305 
8101303, 336 
8101304, 228 
8101305, 324 
8101306, 265 
8101307, 169 
8101308, 243 
8101309, 7 
8101310, 198 
8101401, 183 
8101402, 354 
8101403, 432 
8101404, 364 
8101405, 286 
8101406, 184 
8101407, 374 
8101501, 442 
8101502, 188 
8101503, 214 
8101504, 247 
8101505, 364 
8101506, 244 
8101507, 447 
8101508, 231 
8101509, 274 
8101510, 271 
8101511, 165 
8101512, 211 
9100301, 71 
9100302, 83 
9100303, 10 
9100304, 1 
8101601, 317 
8101602, 170 
8101603, 353 
8101604, 295 
8101605, 285 
8101606, 365 
8101607, 191 
8101608, -   
8101609, 339 
8101610, 191 
8101611, 259 
8101612, 383 
8101613, 280 
8101614, 321 
8101615, 351 
8101616, 392 
8101617, 325 
8101618, 276 
8101619, 374 
8103201, 14 
8101701, 218 
8101702, 355 
